ID,Code departement,Commune
1,76,SAINT-VALERY-EN-CAUX
2,29,QUIMPER
3,76,DIEPPE
4,14,HOULGATE
5,60,CIRES LES MELLO
6,74,SAINT-JEAN-D'AULPS
7,93,SEVRAN
8,60,RANTIGNY
9,87,LIMOGES
10,69,LYON 4EME
11,54,NANCY
12,86,CHASSENEUIL-DU-POITOU
13,85,CHALLANS
14,33,BORDEAUX
15,75,PARIS 12
16,33,CARCANS
17,33,BORDEAUX
18,13,AUBAGNE
19,13,LA CIOTAT
20,37,TOURS
21,76,MONT-SAINT-AIGNAN
22,56,PLOEMEL
23,86,POITIERS
24,60,BEAUVAIS
25,34,PEZENAS
26,40,ST-JULIEN-EN-BORN
27,95,TAVERNY
28,74,EVIAN-LES-BAINS
29,83,HYERES
30,31,TOULOUSE
31,44,REZE
32,60,COMPIEGNE
33,6,SAINT LAURENT DU VAR
34,17,LA ROCHELLE
35,29,SAINT RENAN
36,59,ROUBAIX
37,77,CLAYE-SOUILLY
38,84,AVIGNON
39,87,ISLE
40,74,SAINT GERVAIS LES BAINS
41,51,EPERNAY
42,78,SARTROUVILLE
43,44,SAINT-NAZAIRE
44,14,LISIEUX
45,93,LES PAVILLONS-SOUS-BOIS
46,34,LUNEL
47,40,VIEUX BOUCAU-LES-BAINS
48,94,VINCENNES
49,75,PARIS 11
50,58,NEVERS
51,38,GRENOBLE
52,69,OULLINS
53,78,SAINT-CYR-L ECOLE
54,78,SAINT-CYR-L ECOLE
55,33,SAINT MEDARD EN JALLES
56,91,WISSOUS
57,13,MARSEILLE 12EME
58,34,MARSEILLAN
59,1,CHEVRY
60,95,FRANCONVILLE LA GARENNE
61,83,LA GARDE
62,94,LA QUEUE-EN-BRIE
63,94,LIMEIL-BREVANNES
64,78,VELIZY VILLACOUBLAY
65,37,MONTLOUIS-SUR-LOIRE
66,75,PARIS 18
67,83,SAINT-CYR-SUR-MER
68,6,NICE
69,25,BESANCON
70,94,LA QUEUE-EN-BRIE
71,95,MENUCOURT
72,75,PARIS 18
73,92,COLOMBES
74,92,GENNEVILLIERS
75,93,NOISY-LE-GRAND
76,91,FORGES-LES-BAINS
77,74,THYEZ
78,13,MARSEILLE 8EME
79,75,PARIS 11
80,93,GAGNY
81,6,ANTIBES
82,75,PARIS 05
83,83,SANARY SUR MER
84,75,PARIS 10
85,92,COURBEVOIE
86,92,LEVALLOIS-PERRET
87,75,PARIS 12
88,78,LOUVECIENNES
89,75,PARIS 18
90,78,MONTIGNY LE BRETONNEUX
91,75,PARIS 12
92,78,SAINT-GERMAIN-EN-LAYE
93,75,PARIS 15
94,75,PARIS 11
95,30,ALES
96,24,PERIGUEUX
97,88,RAON L ETAPE
98,4,ENCHASTRAYES
99,76,LE HAVRE
100,22,LANNION
101,22,SAINT-BRIEUC
102,90,BELFORT
103,40,DAX
104,4,SISTERON
105,14,HONFLEUR
106,93,AUBERVILLIERS
107,10,ROMILLY SUR SEINE
108,38,FONTAINE
109,30,NIMES
110,90,BELFORT
111,54,NANCY
112,74,ARACHES LA FRASSE
113,59,MARCQ EN BAROEUL
114,60,COMPIEGNE
115,32,AUCH
116,13,MARSEILLE 4EME
117,13,MARSEILLE 9EME
118,4,RIEZ
119,60,MARGNY LES COMPIEGNE
120,30,LE GRAU DU ROI
121,78,TRAPPES
122,76,MONT-SAINT-AIGNAN
123,77,MELUN
124,17,LA ROCHELLE
125,30,AIGUES-MORTES
126,82,LA VILLE DIEU DU TEMPLE
127,77,AVON
128,37,TOURS
129,34,BALARUC LES BAINS
130,83,BANDOL
131,1,MONTLUEL
132,77,PROVINS
133,44,THOUARE-SUR-LOIRE
134,85,SABLES-D'OLONNE (LES)
135,63,RIOM
136,50,AGNEAUX
137,37,TOURS
138,60,RANTIGNY
139,78,MAUREPAS
140,76,MONTIVILLIERS
141,70,VESOUL
142,13,MARSEILLE 6EME
143,62,ARRAS
144,85,BRETIGNOLLES-SUR-MER
145,44,ST SEBASTIEN SUR LOIRE
146,94,CACHAN
147,77,FONTENAY-TRESIGNY
148,59,RAISMES
149,94,CHOISY-LE-ROI
150,17,SAINT-XANDRE
151,77,MELUN
152,85,SAINT-PHILBERT-DE-BOUAINE
153,60,MERU
154,77,BUSSY-SAINT-GEORGES
155,2,LAON
156,77,ANNET-SUR-MARNE
157,93,BONDY
158,14,CAEN
159,94,SUCY-EN-BRIE
160,13,MARSEILLE 1ER
161,45,ORLEANS
162,85,LONGEVILLE-SUR-MER
163,83,CARQUEIRANNE
164,70,VESOUL
165,69,VILLEFRANCHE
166,91,MONTLHERY
167,25,SAINT VIT
168,95,ERAGNY-SUR-OISE
169,33,VILLENAVE D ORNON
170,91,BRUNOY
171,92,COLOMBES
172,94,VINCENNES
173,3,MOULINS
174,92,COLOMBES
175,69,LYON 9EME
176,69,SAINT-GENIS-LAVAL
177,91,JUVISY SUR ORGE
178,77,BUSSY-SAINT-GEORGES
179,45,SAINT-JEAN-LE-BLANC
180,95,ST OUEN L AUMONE
181,40,BISCARROSSE
182,33,ANDERNOS-LES-BAINS
183,6,ANTIBES
184,78,ACHERES
185,22,PERROS-GUIREC
186,93,BAGNOLET
187,95,ERAGNY-SUR-OISE
188,78,MARLY-LE-ROI
189,75,PARIS 20
190,77,LONGPERRIER
191,94,FONTENAY-SOUS-BOIS
192,14,VILLERS-SUR-MER
193,14,TROUVILLE-SUR-MER
194,78,MARLY-LE-ROI
195,6,NICE
196,91,MASSY
197,92,BOULOGNE-BILLANCOURT
198,94,VILLEJUIF
199,38,LES DEUX ALPES
200,95,EAUBONNE
201,92,MEUDON
202,42,SAINT-MARCELLIN-EN-FOREZ
203,13,CARNOUX-EN-PROVENCE
204,95,PONTOISE
205,6,CAGNES SUR MER
206,91,SAVIGNY-SUR-ORGE
207,75,PARIS 14
208,56,GAVRES
209,92,ASNIERES-SUR-SEINE
210,74,SAINT-PAUL-EN-CHABLAIS
211,91,SAINT-MICHEL-SUR-ORGE
212,92,CLAMART
213,44,NANTES
214,28,CHARTRES
215,94,VILLIERS-SUR-MARNE
216,75,PARIS 10
217,69,LYON 9EME
218,75,PARIS 18
219,33,BORDEAUX
220,75,PARIS 05
221,92,ASNIERES-SUR-SEINE
222,92,COLOMBES
223,33,BRUGES
224,92,RUEIL-MALMAISON
225,83,LE LAVANDOU
226,92,BOULOGNE-BILLANCOURT
227,92,BOIS-COLOMBES
228,83,BANDOL
229,92,NANTERRE
230,69,ALBIGNY-SUR-SAONE
231,6,NICE
232,92,CHAVILLE
233,92,RUEIL-MALMAISON
234,78,SAINT-GERMAIN-DE-LA-GRANGE
235,94,NOGENT-SUR-MARNE
236,38,GRENOBLE
237,75,PARIS 04
238,59,LA MADELEINE
239,92,RUEIL-MALMAISON
240,92,VANVES
241,75,PARIS 11
242,91,ETIOLLES
243,51,REIMS
244,94,VINCENNES
245,94,IVRY-SUR-SEINE
246,92,BOURG-LA-REINE
247,94,SAINT-MAUR-DES-FOSSES
248,6,VILLEFRANCHE-SUR-MER
249,75,PARIS 11
250,92,ASNIERES-SUR-SEINE
251,77,BUSSY-SAINT-MARTIN
252,94,JOINVILLE-LE-PONT
253,40,SOORTS-HOSSEGOR
254,75,PARIS 02
255,75,PARIS 18
256,75,PARIS 06
257,75,PARIS 18
258,75,PARIS 12
259,92,BOULOGNE-BILLANCOURT
260,93,MONTREUIL
261,75,PARIS 15
262,60,COMPIEGNE
263,78,VERSAILLES
264,6,NICE
265,75,PARIS 17
266,75,PARIS 18
267,92,COURBEVOIE
268,75,PARIS 17
269,75,PARIS 18
270,75,PARIS 03
271,92,BOULOGNE-BILLANCOURT
272,92,BOULOGNE-BILLANCOURT
273,75,PARIS 15
274,75,PARIS 07
275,82,MOISSAC
276,14,VILLERS-SUR-MER
277,91,ETAMPES
278,54,NANCY
279,14,BLONVILLE-SUR-MER
280,4,SISTERON
281,80,AMIENS
282,77,AVON
283,74,SALLANCHES
284,51,CHALONS EN CHAMPAGNE
285,42,ROANNE
286,35,RENNES
287,42,ROANNE
288,49,ANGERS
289,72,LE MANS
290,88,FRAIZE
291,42,VILLEREST
292,74,SAINT GERVAIS LES BAINS
293,43,LE PUY EN VELAY
294,77,MELUN
295,34,AGDE
296,54,HOMECOURT
297,45,ST JEAN DE BRAYE
298,87,ST-LEONARD-DE-NOBLAT
299,11,GRUISSAN
300,51,EPERNAY
301,30,NIMES
302,80,AMIENS
303,77,CANNES-ECLUSE
304,33,BEGLES
305,11,GRUISSAN
306,38,HUEZ
307,31,FROUZINS
308,34,CLERMONT L HERAULT
309,13,LA CIOTAT
310,42,ROANNE
311,38,SAINT-MARTIN-D'HERES
312,84,CARPENTRAS
313,6,MENTON
314,13,MARSEILLE 7EME
315,49,CHOLET
316,33,TOULENNE
317,56,BRECH
318,45,OLIVET
319,10,SAINT JULIEN LES VILLAS
320,34,MEZE
321,50,COUTANCES
322,10,SAINTE SAVINE
323,33,SOULAC-SUR-MER
324,82,MONTAUBAN
325,13,MARSEILLE 9EME
326,75,PARIS 14
327,40,SAINT-PIERRE-DU-MONT
328,10,SAINTE SAVINE
329,38,GRENOBLE
330,69,VILLEFRANCHE
331,94,VILLENEUVE-SAINT-GEORGES
332,78,SARTROUVILLE
333,87,LIMOGES
334,18,BOURGES
335,49,ANGERS
336,33,TALENCE
337,45,LA CHAPELLE ST MESMIN
338,75,PARIS 03
339,94,IVRY-SUR-SEINE
340,30,DURFORT-ET-SAINT-MARTIN-DE-
341,75,PARIS 18
342,77,LE MEE SUR SEINE
343,10,ROSIERES PRES TROYES
344,42,ANDREZIEUX-BOUTHEON
345,60,LAIGNEVILLE
346,92,FONTENAY-AUX-ROSES
347,37,TOURS
348,77,CHAMPAGNE SUR SEINE
349,75,PARIS 15
350,45,ORLEANS
351,78,CLAYES-SOUS-BOIS (LES)
352,6,MANDELIEU-LA-NAPOULE
353,94,CHOISY-LE-ROI
354,64,BAYONNE
355,69,LYON 1ER
356,95,AUVERS-SUR-OISE
357,40,DAX
358,91,CORBEIL ESSONNES
359,88,EPINAL
360,34,SETE
361,94,LIMEIL-BREVANNES
362,44,CHAPELLE-SUR-ERDRE (LA)
363,40,TARNOS
364,13,MARSEILLE 7EME
365,13,MARSEILLE 5EME
366,44,SORINIERES (LES)
367,77,SAINT-MAMMES
368,83,BANDOL
369,33,BEGLES
370,33,BORDEAUX
371,93,STAINS
372,38,GRENOBLE
373,39,TAVAUX
374,92,RUEIL-MALMAISON
375,60,PRECY SUR OISE
376,2A,ZONZA
377,93,LES LILAS
378,40,ST-VINCENT-DE-TYROSSE
379,92,ASNIERES-SUR-SEINE
380,94,NOGENT-SUR-MARNE
381,92,NANTERRE
382,78,MAISONS-LAFFITTE
383,94,BOISSY-SAINT-LEGER
384,91,BONDOUFLE
385,74,VIUZ-EN-SALLAZ
386,6,CAP-D AIL
387,38,GRENOBLE
388,19,BRIVE LA GAILLARDE
389,77,VAUX-LE-PENIL
390,95,DOMONT
391,95,ROISSY-EN-FRANCE
392,78,MARLY-LE-ROI
393,85,NOTRE-DAME-DE-MONTS
394,92,BOIS-COLOMBES
395,77,MEAUX
396,92,ASNIERES-SUR-SEINE
397,93,TREMBLAY-EN-FRANCE
398,31,TOULOUSE
399,77,MONTEVRAIN
400,94,LIMEIL-BREVANNES
401,94,LE KREMLIN-BICETRE
402,4,DIGNE-LES-BAINS
403,92,PUTEAUX
404,14,DEAUVILLE
405,94,CRETEIL
406,69,LYON 3EME
407,38,SAINT-MARTIN-D'HERES
408,75,PARIS 11
409,30,NIMES
410,13,AUBAGNE
411,95,HERBLAY-SUR-SEINE
412,6,NICE
413,95,ERMONT
414,40,TARNOS
415,44,NANTES
416,80,LE CROTOY
417,77,CLAYE-SOUILLY
418,94,LA QUEUE-EN-BRIE
419,83,TOULON
420,13,CASSIS
421,40,TOSSE
422,73,LES BELLEVILLE
423,93,LES LILAS
424,78,MAURECOURT
425,94,VALENTON
426,94,LA QUEUE-EN-BRIE
427,94,LA QUEUE-EN-BRIE
428,92,NANTERRE
429,77,SERVON
430,13,MARSEILLE 10EME
431,91,CHEPTAINVILLE
432,69,FRANCHEVILLE
433,94,CHARENTON-LE-PONT
434,62,WIMEREUX
435,78,PECQ (LE)
436,22,SAINT-BRIEUC
437,75,PARIS 17
438,94,ALFORTVILLE
439,1,FERNEY-VOLTAIRE
440,94,NOGENT-SUR-MARNE
441,44,PORNICHET
