ID_Bien,ID_Adresse,Type local,Nombre pieces principales,Surface Carrez
1,1,Appartement,1,23.98
2,2,Appartement,1,30.86
3,3,Appartement,4,61.52
4,4,Appartement,1,18.89
5,5,Appartement,1,19.11
6,6,Appartement,1,18.93
7,7,Appartement,2,24.63
8,8,Appartement,1,31.73
9,9,Appartement,2,43.54
10,10,Appartement,1,20.02
11,11,Appartement,2,39.69
12,12,Appartement,1,30.42
13,13,Appartement,2,43.12
14,14,Appartement,1,13.1
15,15,Appartement,1,10.06
16,16,Appartement,2,29
17,17,Appartement,1,23.2
18,18,Appartement,2,47.33
19,19,Appartement,1,25.31
20,20,Appartement,2,42.94
21,21,Appartement,3,57.27
22,22,Appartement,3,43.85
23,23,Appartement,4,71.03
24,24,Appartement,2,48.35
25,25,Appartement,3,68.22
26,26,Maison,3,48.23
27,27,Appartement,3,57.1
28,28,Appartement,2,34.86
29,29,Appartement,1,20.15
30,30,Appartement,2,45.58
31,31,Appartement,2,46.3
32,32,Appartement,5,97.39
33,33,Appartement,1,27.51
34,34,Appartement,2,31.99
35,35,Appartement,3,66.21
36,36,Appartement,3,89.84
37,37,Appartement,2,35.32
38,38,Appartement,2,37.24
39,39,Appartement,2,62.95
40,40,Appartement,2,39.05
41,41,Appartement,4,81.09
42,42,Appartement,3,74
43,43,Appartement,2,47.24
44,44,Maison,4,105.37
45,45,Appartement,2,46
46,46,Appartement,1,16.79
47,47,Appartement,2,49.91
48,48,Appartement,1,16.37
49,49,Appartement,2,17.94
50,50,Appartement,4,108.78
51,51,Appartement,4,76.48
52,52,Appartement,2,49.89
53,53,Appartement,4,67.76
54,54,Appartement,2,40.55
55,55,Appartement,2,51.4
56,56,Appartement,2,43.42
57,57,Appartement,3,67.19
58,58,Appartement,2,51.4
59,59,Appartement,3,48.22
60,60,Appartement,4,72.53
61,61,Appartement,2,50.74
62,62,Appartement,2,48.02
63,63,Appartement,3,67.1
64,64,Appartement,2,49.16
65,65,Maison,4,88.45
66,66,Appartement,2,24.3
67,67,Appartement,2,47.52
68,68,Appartement,3,80.25
69,69,Maison,5,96.21
70,70,Maison,4,80
71,71,Maison,5,90.07
72,72,Appartement,1,23.98
73,73,Appartement,3,49.45
74,74,Appartement,3,59.35
75,75,Appartement,4,77.93
76,76,Appartement,5,128.34
77,77,Appartement,4,88.59
78,78,Appartement,3,70.84
79,79,Appartement,2,28.39
80,80,Maison,4,106.31
81,81,Appartement,1,39.11
82,82,Appartement,2,30.05
